연번,업체명,대표자명(익명),벤처확인유형,지역,주소,업종분류(기보),업종명(11차),주생산품,벤처유효시작일,벤처유효종료일,벤처확인기관,신규_재확인
5432,주식회사 바이브발란스,이**,벤처투자유형,서울,서울특별시 구로구,도소매업,전자상거래 소매업,통신판매업,2024-02-14,2027-02-13,벤처기업확인기관,신규
5433,인더라스 주식회사,임**,혁신성장유형,부산,부산 해운대구,연구개발서비스,자연과학 및 공학 융합 연구개발업,차량용 LED 안전삼각대 관련 연구개발 및 제조 등,2024-03-13,2027-03-12,벤처기업확인기관,신규
5434,주식회사 동천이엔지,조**,혁신성장유형,경기,경기도 의정부시,제조업,그 외 기타 특수목적용 기계 제조업,기계제조및 철구조물제작업,2024-02-21,2027-02-20,벤처기업확인기관,신규
5435,신우산업(주),"김**,김**",혁신성장유형,경기,경기도 김포시,제조업,"플라스틱 선, 봉, 관 및 호스 제조업",합성수지 상하수관 및 부속,2024-03-06,2027-03-05,벤처기업확인기관,재확인
5436,(주)픽스로봇,우**,혁신성장유형,인천,인천 미추홀구,제조업,"기타 섬유, 의복 및 가죽 가공 기계 제조업","섬유,의복,가죽 가공기계 제조",2024-02-21,2027-02-20,벤처기업확인기관,재확인
5437,주식회사 언더라이터,남**,벤처투자유형,서울,서울특별시 마포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,응용 소프트웨어,2024-02-14,2027-02-13,벤처기업확인기관,신규
5438,협동조합 손에손에,박**,연구개발유형,세종,세종특별자치시 나성로,기타,공연 기획업,"스마트미디어 콘텐츠, 실감콘텐츠, 융복합 콘텐츠, 공연예술 콘텐츠, 소프트웨어 개발",2024-02-21,2027-02-20,벤처기업확인기관,신규
5439,(주)피앤씨랩스,함**,혁신성장유형,경기,경기 오산시,제조업,부직포 및 펠트 제조업,마스크팩용 부직포 외,2024-02-21,2027-02-20,벤처기업확인기관,재확인
5440,주식회사엔비알모션,문**,벤처투자유형,경남,경남 밀양시,제조업,구름베어링 제조업,"볼, 테이퍼 롤러 등",2024-03-24,2027-03-23,벤처기업확인기관,재확인
5441,주식회사 로엔서지컬,권**,벤처투자유형,대전,대전광역시 유성구,제조업,그 외 기타 의료용 기기 제조업,의료로봇,2024-03-14,2027-03-13,벤처기업확인기관,재확인
5442,주식회사 오로,전**,연구개발유형,경기,경기도 김포시,제조업,그 외 기타 의료용 기기 제조업,의료기기,2024-03-24,2027-03-23,벤처기업확인기관,재확인
5443,주식회사 아이디어텍,양**,혁신성장유형,경기,경기도 남양주시,제조업,전시용 모형 제조업,과학전시물,2024-03-27,2027-03-26,벤처기업확인기관,신규
5444,(주)홍우,홍**,혁신성장유형,경기,경기도 광주시,제조업,육류 포장육 및 냉동육 가공업 (가금류 제외),축산물 가공 및 판매,2024-07-24,2027-07-23,벤처기업확인기관,신규
5445,주식회사 스킴스바이오,김**,혁신성장유형,서울,서울특별시 노원구,연구개발서비스,의학 및 약학 연구개발업,체외진단용의료기기,2024-02-22,2027-02-21,벤처기업확인기관,재확인
5446,㈜레오컴,이**,혁신성장유형,서울,서울특별시 송파구,도소매업,"컴퓨터 및 주변장치, 소프트웨어 도매업","서버, 소프트웨어",2024-03-20,2027-03-19,벤처기업확인기관,재확인
5447,유한회사 한창에너지,김**,혁신성장유형,전북,전라북도 군산시,제조업,배전반 및 전기 자동제어반 제조업,"배전반 및 전기자동제어반, 접지선",2024-03-13,2027-03-12,벤처기업확인기관,신규
5448,예비창업자 조준희,조**,예비벤처유형,서울,서울특별시 동대문구,기타,건축설계 및 관련 서비스업,,2024-03-13,2027-03-12,벤처기업확인기관,신규
5449,농업회사법인 골든웨일 주식회사,"박**,Z**",혁신성장유형,충북,충청북도 충주시,제조업,탁주 및 약주 제조업,탁주 제조,2024-02-14,2027-02-13,벤처기업확인기관,신규
5450,주식회사 솔루션엑스,최**,혁신성장유형,서울,서울특별시 노원구,제조업,기타 전기 변환장치 제조업,"전기자동차 내장형 충전기(OBC), 전기자동차 외장형 초급속 충전기, 배터리 생산 공정용 포메이션 장비",2024-03-20,2027-03-19,벤처기업확인기관,신규
5451,㈜아이모션,김**,혁신성장유형,서울,서울특별시 마포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"SensMail, sensEMS등",2024-03-23,2027-03-22,벤처기업확인기관,재확인
5452,에스앤씨 주식회사,이**,혁신성장유형,경기,경기도 고양시,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,소프트웨어 자문 외,2024-04-29,2027-04-28,벤처기업확인기관,신규
5453,주식회사 에이블,이**,혁신성장유형,충남,충청남도 아산시,제조업,반도체 제조용 기계 제조업,임펠라,2024-02-21,2027-02-20,벤처기업확인기관,신규
5454,스킨리버스랩주식회사,신**,벤처투자유형,서울,서울특별시 강남구,제조업,화장품 제조업,화장품,2024-03-14,2027-03-13,벤처기업확인기관,재확인
5455,㈜엘티아이,이**,혁신성장유형,전남,전라남도 순천시,제조업,전자 응용 절삭기계 제조업,공작기계 부품 및 유니트,2024-03-24,2027-03-23,벤처기업확인기관,재확인
5456,주식회사 마크위저드,박**,벤처투자유형,서울,서울특별시 강남구,기타,광고 대행업,"광고대행업, 경영컨설팅, 전자상거래",2024-03-20,2027-03-19,벤처기업확인기관,신규
5457,주식회사 앤텍,김**,혁신성장유형,경기,경기도 안양시,제조업,자동차용 신품 전기장치 제조업,와이어하네스 및 자동차용 전장품,2024-03-13,2027-03-12,벤처기업확인기관,재확인
5458,주식회사 비카인드,김**,벤처투자유형,서울,서울특별시 성동구,기타,광고 대행업,영상 콘텐츠,2024-03-17,2027-03-16,벤처기업확인기관,재확인
5459,주식회사 나인소프트,구**,연구개발유형,세종,세종특별자치시 조치원읍,정보처리S/W,응용 소프트웨어 개발 및 공급업,"소프트웨어 개발,공급/컴퓨터,주변장치 도매",2024-03-20,2027-03-19,벤처기업확인기관,신규
5460,이안테크 주식회사,권**,혁신성장유형,경기,경기도 파주시,제조업,"알루미늄 압연, 압출 및 연신제품 제조업",알루미늄 압출 및 연신재품  금속창 관련제품,2024-07-16,2027-07-15,벤처기업확인기관,신규
5461,주식회사 세진사,윤**,벤처투자유형,서울,서울특별시 관악구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"세차 서비스 플랫폼, 방문 세차 서비스, 자동차 관리 서비스",2024-02-28,2027-02-27,벤처기업확인기관,신규
5462,알콘 주식회사,김**,혁신성장유형,경기,경기도 고양시,제조업,기기용 자동측정 및 제어장치 제조업,이동식 무선 축중기,2024-03-24,2027-03-23,벤처기업확인기관,재확인
5463,가구클럽,정**,혁신성장유형,경기,경기도 시흥시,제조업,기타 목재가구 제조업,"사무용가구,인테리어공사,가구,의자 ,전자상거래",2024-02-21,2027-02-20,벤처기업확인기관,신규
5464,주식회사 예드,노**,벤처투자유형,서울,서울특별시 서초구,기타,투자 자문업 및 투자 일임업,"투자자문, 핀테크솔루션",2024-03-24,2027-03-23,벤처기업확인기관,재확인
5465,주식회사 대흥,이**,연구개발유형,경기,경기도 수원시,제조업,그 외 기타 식료품 제조업,"과일잼, 가공버터, 카라멜, 시럽류등",2024-06-26,2027-06-25,벤처기업확인기관,신규
5466,(주)미래이앤아이,윤**,혁신성장유형,서울,서울 금천구,제조업,그 외 기타 전기장비 제조업,"자동화기기,자동제어기기,계장기기,계측기기,태양광발전접속반,신재생에너지용전장장치,원격접속장치,전기공사업,태양광발전용기자재,신재생에너지용기자재",2024-03-24,2027-03-23,벤처기업확인기관,재확인
5467,주식회사셀랩시스,"양**,나**",벤처투자유형,인천,인천광역시 부평구,제조업,그 외 기타 특수목적용 기계 제조업,"생명과학기기, 실험 기자재, 무역",2024-02-14,2027-02-13,벤처기업확인기관,신규
5468,주식회사 와이에스티에스,유**,연구개발유형,부산,부산광역시 기장군,제조업,배전반 및 전기 자동제어반 제조업,배전반 및 전기자동화제어반,2024-02-21,2027-02-20,벤처기업확인기관,신규
5469,라온구조안전기술㈜,김**,혁신성장유형,서울,서울특별시 송파구,기타,건물 및 토목 엔지니어링 서비스업,안전진단보고서,2024-01-25,2027-01-24,벤처기업확인기관,재확인
5470,(주)성우모터스,원**,혁신성장유형,충북,충북 음성군,제조업,차체 및 특장차 제조업,"특장차(구급차,캠핑차량,특수차량),자동차부품,의료기 제조/의료기기 도소매/통신 판매",2024-03-20,2027-03-19,벤처기업확인기관,재확인
5471,(주)삼성특수브레이크,피**,혁신성장유형,경기,경기 파주시,제조업,그 외 자동차용 신품 부품 제조업,"자동차용, 철도차량용, 산업기계용 브레이크",2024-03-25,2027-03-24,벤처기업확인기관,재확인
5472,주식회사 라이드플럭스,박**,벤처투자유형,제주,제주특별자치도 제주시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,자율주행 소프트웨어,2024-03-21,2027-03-20,벤처기업확인기관,재확인
5473,㈜위니즈,정**,혁신성장유형,부산,부산광역시 사상구,제조업,그 외 기타 의료용 기기 제조업,재활보행보조 의료기기,2024-02-23,2027-02-22,벤처기업확인기관,재확인
5474,㈜피노스토리,이**,연구개발유형,서울,서울특별시 금천구,제조업,산업용 송풍기 및 배기장치 제조업,제연마스크등,2024-03-18,2027-03-17,벤처기업확인기관,재확인
5475,엘쓰리일렉트릭파워 주식회사,여**,연구개발유형,제주,제주특별자치도 제주시,제조업,기타 전기 변환장치 제조업,완속/중속/급속 전기차충전기 ,2024-04-03,2027-04-02,벤처기업확인기관,신규
5476,주식회사 에이컴즈,이**,벤처투자유형,경기,경기도 과천시,기타,시각 디자인업,캐릭터개발및 캐릭터 상품,2024-03-13,2027-03-12,벤처기업확인기관,신규
5477,이에스피 주식회사,박**,혁신성장유형,경기,경기도 안양시,제조업,배전반 및 전기 자동제어반 제조업,"배전반, 전력계통해석",2024-03-25,2027-03-24,벤처기업확인기관,재확인
5478,주식회사 온코마스터,장**,연구개발유형,서울,서울특별시 동대문구,정보처리S/W,데이터베이스 및 온라인정보 제공업,암 환자 별 맞춤형 암 환자 지식정보 서비스 레포트 제공,2024-03-20,2027-03-19,벤처기업확인기관,신규
5479,(주)풀고로바이오,최**,혁신성장유형,서울,서울특별시 성북구,연구개발서비스,의학 및 약학 연구개발업,AI . CADD를 이용한 신약개발 및 연구 용역 서비스,2024-03-06,2027-03-05,벤처기업확인기관,신규
5480,(주) 한빛축산,김**,벤처투자유형,대구,대구광역시 달서구,제조업,육류 기타 가공 및 저장처리업 (가금류 제외),한우 육가공,2024-02-21,2027-02-20,벤처기업확인기관,신규
5481,주식회사 고트헤이븐,차**,혁신성장유형,광주,광주광역시 북구,정보처리S/W,응용 소프트웨어 개발 및 공급업,응용 소프트웨어,2024-04-03,2027-04-02,벤처기업확인기관,신규
5482,주식회사 모다플,최**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,모빌리티 데이터 소프트웨어 및 데이터베이스 제공 ,2024-02-14,2027-02-13,벤처기업확인기관,신규
5483,바이젠셀 주식회사,기**,연구개발유형,서울,서울특별시 금천구,제조업,합성의약품 및 기타 완제 의약품 제조업,세포치료제,2024-03-14,2027-03-13,벤처기업확인기관,재확인
5484,스마클 주식회사,송**,연구개발유형,인천,인천광역시 서구,제조업,"체조, 육상 및 체력단련용 장비 제조업","자가발전운동기구, 전기자전거",2024-03-10,2027-03-09,벤처기업확인기관,재확인
5485,주식회사 크로스체크,오**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,모바일 게임 소프트웨어 개발 및 공급업,플랫폼 서비스,2024-04-18,2027-04-17,벤처기업확인기관,신규
5486,대신네트웍스 주식회사,김**,혁신성장유형,경기,경기도 군포시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"소프트웨어 자문 및 개발공급, 시스템 통합사업, 융복합 퍼걸러, 융복합 옥외용 벤치등",2024-05-14,2027-05-13,벤처기업확인기관,신규
5487,서주사이언티픽 주식회사,전**,혁신성장유형,경기,경기도 시흥시,도소매업,전자상거래 소매업,MRO,2024-02-28,2027-02-27,벤처기업확인기관,신규
5488,㈜로앤컴퍼니,김**,벤처투자유형,서울,서울특별시 서초구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,법률플랫폼서비스,2024-03-21,2027-03-20,벤처기업확인기관,재확인
5489,온앤오프엘이디 주식회사,이**,혁신성장유형,경기,경기도 군포시,제조업,일반용 전기 조명장치 제조업,"LED 경관조명, 조명제어장치",2024-05-02,2027-05-01,벤처기업확인기관,신규
5490,(주)켈라웨이브,한**,연구개발유형,충북,충청북도 청주시,정보처리S/W,응용 소프트웨어 개발 및 공급업,인공지능 소프트웨어 및 서비스,2024-02-28,2027-02-27,벤처기업확인기관,신규
5491,포웨이브소프트 주식회사,안**,연구개발유형,서울,서울특별시 금천구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,형상관리 솔루션,2024-03-02,2027-03-01,벤처기업확인기관,재확인
5492,주식회사 피알몬스터,"윤**,성**",혁신성장유형,서울,서울특별시 성동구,기타,그 외 기타 광고 관련 서비스업,광고홍보 대행,2024-02-28,2027-02-27,벤처기업확인기관,신규
5493,주식회사 씨이에스팜,권**,혁신성장유형,충북,충청북도 진천군,제조업,건강기능식품 제조업,건강기능식품 ,2024-03-06,2027-03-05,벤처기업확인기관,신규
5494,스퀘어제로 주식회사,홍**,벤처투자유형,서울,서울특별시 관악구,정보처리S/W,응용 소프트웨어 개발 및 공급업,Saas 웹 / 앱,2024-02-14,2027-02-13,벤처기업확인기관,신규
5495,(주)글로브포인트,조**,연구개발유형,경기,경기 고양시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"교육콘텐츠 개발,온라인정보 제공,비디오 제작/출판/부동산 임대/학술연구용역.경영 컨설팅,위탁교육 훈련",2024-03-25,2027-03-24,벤처기업확인기관,재확인
5496,주식회사 썸웰테크,김**,혁신성장유형,경기,경기도 양주시,제조업,"플라스틱 포대, 봉투 및 유사제품 제조업","에어캡, 안전봉투",2024-02-28,2027-02-27,벤처기업확인기관,신규
5497,예비창업자 최진희,최**,예비벤처유형,서울,서울특별시 동대문구,기타,물질성분 검사 및 분석업,,2024-03-20,2027-03-19,벤처기업확인기관,신규
5498,주식회사 아메드,한**,연구개발유형,서울,서울특별시 관악구,제조업,기타 반도체소자 제조업,"MEMS소자파운드리,플라즈마표면처리기,미세유체정량제어시스템",2025-09-16,2028-09-15,벤처기업확인기관,재확인
5499,티지에스피 주식회사,조**,벤처투자유형,서울,서울특별시 마포구,기타,경영 컨설팅업,부동산 리테일 콘텐츠 개발 ,2024-02-28,2027-02-27,벤처기업확인기관,신규
5500,주식회사 가드니아,심**,혁신성장유형,경기,경기도 구리시,제조업,빵류 제조업,"빵류, 과자류 ",2024-04-25,2027-04-24,벤처기업확인기관,신규
5501,주식회사 유니드이엔지,노**,혁신성장유형,경기,경기도 오산시,건설운수,기타 건물 관련설비 설치 공사업,"클린룸생산설비,기계가스설비공사,클린장비류,공조장비류",2024-04-09,2027-04-08,벤처기업확인기관,신규
5502,에이스일렉트릭 주식회사,한**,혁신성장유형,경기,경기도 김포시,제조업,배전반 및 전기 자동제어반 제조업,"배전반, MCC, 분전반",2024-03-06,2027-03-05,벤처기업확인기관,신규
5503,(주)랩엔트,이**,벤처투자유형,대전,대전광역시 서구,제조업,기타 표시장치 제조업,마이크로LED 디스플레이,2024-02-28,2027-02-27,벤처기업확인기관,신규
5504,㈜오스테오닉,이**,연구개발유형,서울,서울특별시 구로구,제조업,그 외 기타 의료용 기기 제조업,골절합용 의료기기,2024-03-07,2027-03-06,벤처기업확인기관,재확인
5505,주식회사 한국방염기술,황**,혁신성장유형,서울,서울특별시 금천구,제조업,동력식 수지공구 제조업,소화액 및 소화기제조생산,2024-03-06,2027-03-05,벤처기업확인기관,신규
5506,주식회사 알파코퍼레이션,안**,벤처투자유형,서울,서울특별시 영등포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어개발,2024-02-14,2027-02-13,벤처기업확인기관,신규
5507,주식회사 밥아저씨에프앤비,신**,혁신성장유형,경기,경기도 화성시,제조업,육류 포장육 및 냉동육 가공업 (가금류 제외),양념육,2024-05-07,2027-05-06,벤처기업확인기관,신규
5508,주식회사 빈커스텀컴퍼니,심**,혁신성장유형,대구,대구광역시 남구,제조업,커피 가공업,"원두커피, 시각디자인",2024-02-21,2027-02-20,벤처기업확인기관,신규
5509,주식회사 타비,이**,연구개발유형,부산,부산광역시 부산진구,도소매업,전자상거래 소매업,생활용품 및 캠핑용품,2024-02-28,2027-02-27,벤처기업확인기관,신규
5510,주식회사 한국몰드김제,고**,혁신성장유형,전북,전라북도 김제시,제조업,자동차 차체용 신품 부품 제조업,버스및대형트럭 차체품,2024-03-06,2027-03-05,벤처기업확인기관,재확인
5511,상원엔지니어링(주),"정**,육**",혁신성장유형,대전,대전광역시 대덕구,제조업,배전반 및 전기 자동제어반 제조업,"수배전반, 자동소화장치",2024-03-26,2027-03-25,벤처기업확인기관,재확인
5512,주식회사 베이글칩스,정**,벤처투자유형,서울,서울특별시 용산구,정보처리S/W,컴퓨터 프로그래밍 서비스업,"AI 소프트웨어 STT, AI 음성봇 서비스",2024-02-21,2027-02-20,벤처기업확인기관,신규
5513,주식회사 에스에이치,박**,혁신성장유형,경북,경상북도 김천시,제조업,배전반 및 전기 자동제어반 제조업,"배전반, 변압기, 전기공사",2024-03-23,2027-03-22,벤처기업확인기관,재확인
5514,주식회사 푸트로랩(Futurolab Inc.),장**,벤처투자유형,인천,인천광역시 연수구,도소매업,전자상거래 소매업,전동전지가위외,2024-03-24,2027-03-23,벤처기업확인기관,재확인
5515,주식회사 크리에이터버스,유**,벤처투자유형,서울,서울특별시 서대문구,기타,프로그램 공급업,"광고 매체 판매업, 광고 영화 및 비디오물 제작업",2024-02-14,2027-02-13,벤처기업확인기관,신규
5516,주식회사 파스컴,이**,혁신성장유형,경기,경기도 광주시,제조업,"라디오, 녹음 및 재생 기기 제조업",산업용 음향기기 외,2024-03-06,2027-03-05,벤처기업확인기관,재확인
5517,(주)엠이티,이**,연구개발유형,경기,경기 안양시,제조업,표면광택제 및 실내가향제 제조업,방향제,2024-03-18,2027-03-17,벤처기업확인기관,재확인
5518,주식회사 영모델러,박**,혁신성장유형,경남,경상남도 거제시,제조업,인형 및 장난감 제조업,거북선 모형 외 나무 모형키트,2024-02-25,2027-02-24,벤처기업확인기관,재확인
5519,주식회사 피씨엠,차**,혁신성장유형,경기,경기도 안성시,제조업,화장품 제조업,화장품제조업,2024-05-29,2027-05-28,벤처기업확인기관,신규
5520,(주) 삼경엠에스,엄**,혁신성장유형,경기,경기도 군포시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,소프트업개발 및 용역서비스,2025-07-09,2028-07-08,벤처기업확인기관,재확인
5521,사이오닉에이아이 주식회사,고**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,인공지능(대규모언어모델 및 검색엔진) 업무 자동화 플랫폼,2024-02-21,2027-02-20,벤처기업확인기관,신규
5522,(주)스마트름뱅이,"윤**,배**",벤처투자유형,경북,경북 경산시,제조업,기타 가정용 전기기기 제조업,"생활가전, 생활용품,전자부품 제조 및 공급,시제품(목업) 제작,상품 종합 도매업, 무역,전자상거래,기타 제품 임대,소프트웨어개발 및 공급, 자문,제품디자인,",2024-03-26,2027-03-25,벤처기업확인기관,재확인
5523,땡그랑 주식회사,최**,벤처투자유형,서울,서울특별시 송파구,정보처리S/W,데이터베이스 및 온라인정보 제공업,골프관련 이용권,2024-02-21,2027-02-20,벤처기업확인기관,신규
5524,㈜엘아이비에너지,"진**,고**",혁신성장유형,부산,부산광역시 남구,제조업,기타 이차전지 제조업,리튬이차전지 활성소재 ,2024-03-19,2027-03-18,벤처기업확인기관,재확인
5525,주식회사 네오메드,유**,연구개발유형,부산,부산광역시 사하구,제조업,정형외과용 및 신체보정용 기기 제조업,기능성관절보호대및 미세먼지마스크,2024-03-25,2027-03-24,벤처기업확인기관,재확인
5526,(주)대력,박**,혁신성장유형,경남,경남 김해시,제조업,천연 및 혼합조제 조미료 제조업,식품(생와사비)제조가공/무역(수입식품),2024-03-25,2027-03-24,벤처기업확인기관,재확인
5527,주식회사 에스엔바이오로직스,허**,혁신성장유형,광주,광주광역시 서구,제조업,그 외 기타 의료용 기기 제조업,합성재료이식용뼈,2024-04-24,2027-04-23,벤처기업확인기관,재확인
5528,주식회사 스튜디오징스,이**,혁신성장유형,서울,서울특별시 강서구,기타,애니메이션 영화 및 비디오물 제작업,"애니메이션, 애니메이션 영화 ",2024-03-28,2027-03-27,벤처기업확인기관,신규
5529,오피전력기술㈜,"최**,신**",혁신성장유형,경기,경기도 성남시,제조업,그 외 기타 전기장비 제조업,전력설비 예방진단시스템,2024-03-19,2027-03-18,벤처기업확인기관,재확인
5530,자인에너지 주식회사,이**,벤처투자유형,충북,충청북도 청주시,제조업,기타 이차전지 제조업,"이차전지 및 이차전지 소재의 제조 및 판매업,전동기 및 발전기 제조업,에너지 저장장치 제조업,기타 전기 변환장치 제조업,자동차 재제조 부품 제조업,전지 및",2024-03-20,2027-03-19,벤처기업확인기관,신규
5531,주식회사 윈이앤지,유**,혁신성장유형,울산,울산광역시 울주군,건설운수,기타 토목시설물 건설업,"기계설비, 토공사업",2024-03-27,2027-03-26,벤처기업확인기관,재확인
5532,(주)성지산업,조**,혁신성장유형,경기,경기도 평택시,건설운수,토공사업,"상수도관망 세척, 점검, 정비 , 누수탐사, 복구, 누수관리 ",2024-03-06,2027-03-05,벤처기업확인기관,신규
5533,㈜현대메디텍,송**,혁신성장유형,강원,강원특별자치도 원주시,제조업,그 외 기타 의료용 기기 제조업,"봉합사, 필러, 화장품",2024-03-20,2027-03-19,벤처기업확인기관,재확인
5534,주식회사 레위,박**,혁신성장유형,경기,경기도 안양시,제조업,전동기 및 발전기 제조업,"태양광,방송장비부품",2024-03-26,2027-03-25,벤처기업확인기관,재확인
5535,주식회사 포디허브,김**,혁신성장유형,경북,경북 경산시,기타,측량업,지도제작,2024-03-06,2027-03-05,벤처기업확인기관,신규
5536,주식회사 피치앤글로비스,임**,혁신성장유형,전북,전북특별자치도 전주시,제조업,전기용 탄소제품 및 절연제품 제조업,탄소발열보드,2024-05-22,2027-05-21,벤처기업확인기관,재확인
5537,(주)시수머신,이**,연구개발유형,대구,대구광역시 달성군,제조업,금속 성형기계 제조업,"철근 가공기계, 파이프 가공기계",2024-09-04,2027-09-03,벤처기업확인기관,신규
5538,엠비전텍(주),김**,혁신성장유형,경기,경기도 의왕시,제조업,산업처리공정 제어장비 제조업,응용프로그램 개발,2024-02-21,2027-02-20,벤처기업확인기관,신규
5539,(주)딜랏,류**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,플랫폼개발,2024-02-21,2027-02-20,벤처기업확인기관,신규
5540,주식회사 트위니,"천**,천**",벤처투자유형,대전,대전광역시 유성구,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업","자율주행소프트웨어, 모바일 메신저 플랫폼",2024-03-27,2027-03-26,벤처기업확인기관,재확인
5541,주식회사 스탠비,조**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,호텔 숙박 예약 서비스 플랫폼,2024-02-21,2027-02-20,벤처기업확인기관,신규
5542,송현엘앤씨 주식회사,권**,연구개발유형,경기,경기도 화성시,제조업,동력식 수지공구 제조업,안전선 기계 및 스프레이 제조,2024-03-25,2027-03-24,벤처기업확인기관,재확인
5543,(주)오드래빗미디어,오**,벤처투자유형,서울,서울특별시 성동구,기타,공연 기획업,영상개발,2024-02-21,2027-02-20,벤처기업확인기관,신규
5544,(주)오월의아침,김**,혁신성장유형,대구,대구광역시 달서구,기타,김밥 및 기타 간이 음식점업,제빵류,2024-05-22,2027-05-21,벤처기업확인기관,신규
5545,주식회사 에이치파이컴퍼니,강**,벤처투자유형,경기,경기도 파주시,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어 및 앱 서비스,2024-02-21,2027-02-20,벤처기업확인기관,신규
5546,주식회사 퍼스트솔루션,오**,혁신성장유형,경기,경기도 부천시,도소매업,통신.방송장비 및 부품 도매업,키오스크,2024-02-21,2027-02-20,벤처기업확인기관,신규
5547,주식회사 우리덜,권**,혁신성장유형,경기,경기도 성남시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"VR 콘텐츠, 웹소설 플랫폼",2024-04-03,2027-04-02,벤처기업확인기관,신규
5548,주식회사 정완컴퍼니,최**,혁신성장유형,전북,전북특별자치도 익산시,제조업,전시용 모형 제조업,홀로그램 영상 재현 장치,2024-02-21,2027-02-20,벤처기업확인기관,신규
5549,엔더블유시 주식회사,김**,벤처투자유형,경기,경기도 군포시,제조업,유선 통신장비 제조업,"광점퍼코드,현장조립형광커넥터,기구물,케이블 외",2024-02-25,2027-02-24,벤처기업확인기관,재확인
5550,주식회사 하우스프랜드가구,류**,혁신성장유형,경기,경기도 파주시,제조업,소파 및 기타 내장가구 제조업,"식탁, 의자",2024-04-25,2027-04-24,벤처기업확인기관,신규
5551,주식회사주영라이팅,임**,혁신성장유형,전남,전라남도 광양시,제조업,일반용 전기 조명장치 제조업,"LED등기구, 가로등주, 경관조명, LED안전유도블록 등",2024-03-13,2027-03-12,벤처기업확인기관,재확인
5552,(주)아우라케어,"경**,김**",연구개발유형,경기,경기 용인시,연구개발서비스,의학 및 약학 연구개발업,동물용 방사선 진단 및 치료기기,2024-03-19,2027-03-18,벤처기업확인기관,재확인
5553,진성하이테크,이**,혁신성장유형,경기,경기도 시흥시,제조업,주형 및 금형 제조업,사출금형제작,2024-03-13,2027-03-12,벤처기업확인기관,재확인
5554,가은 주식회사,이**,벤처투자유형,경기,경기도 시흥시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,응용 소프트웨어  개발 ( 그래픽 사진편집 ),2024-02-21,2027-02-20,벤처기업확인기관,신규
5555,주식회사 엘라코스메틱,김**,혁신성장유형,인천,인천광역시 남동구,제조업,화장품 제조업,"진주마스크팩, 화장품, 탈취제, 의약외품, 동물의약외품",2024-03-20,2027-03-19,벤처기업확인기관,신규
5556,디에스초전 주식회사,김**,혁신성장유형,경북,경상북도 성주군,제조업,농업 및 임업용 기계 제조업,퇴비살포기,2024-06-04,2027-06-03,벤처기업확인기관,신규
5557,(주)동광특수금속,진**,혁신성장유형,경기,경기도 부천시,제조업,금속 단조제품 제조업,접점,2024-02-28,2027-02-27,벤처기업확인기관,신규
5558,상명기계다이아,박**,혁신성장유형,경기,경기도 김포시,제조업,그 외 기타 일반목적용 기계 제조업,유리가공기계제작 및 수리,2024-03-13,2027-03-12,벤처기업확인기관,신규
5559,주식회사 넥스젠,김**,연구개발유형,전북,전북특별자치도 군산시,제조업,기타 이차전지 제조업,2차전지 배터리팩 등,2024-03-27,2027-03-26,벤처기업확인기관,신규
5560,주식회사 피엔피엔지니어링,표**,연구개발유형,울산,울산광역시 북구,기타,기타 엔지니어링 서비스업, 실차계측시험,2024-04-11,2027-04-10,벤처기업확인기관,재확인
5561,주식회사 덴탈스케치,강**,벤처투자유형,부산,부산광역시 동래구,제조업,정형외과용 및 신체보정용 기기 제조업,정형외과용 및 신체보정용 기기,2024-04-11,2027-04-10,벤처기업확인기관,신규
5562,(주)리산테크,김**,혁신성장유형,서울,서울특별시 금천구,제조업,일반용 전기 조명장치 제조업,"조명제어장치,Flasher",2024-03-22,2027-03-21,벤처기업확인기관,재확인
5563,주식회사 세이브더팜즈,황**,혁신성장유형,충남,충청남도 천안시,제조업,기타 기초 유기 화학물질 제조업,유기성폐기물을 활용한 바이오차,2025-10-29,2028-10-28,벤처기업확인기관,신규
